,Name,InletNode,OutletNode,Length,Geom1,MaxQ,Roughness,InOffset,OutOffset,Shape,Slope,InputModelledInSWMM,Area,AverageValue,TimePatterns,Time Series,Sfactor,Baseline,BreakPoint
86,DOM_19715,RA_200964,R014223,24.932,1.8,0.751,0.013,1.777,1.668,CIRCULAR,0.004371891545002406,,,,,,,,104.0
87,DOM_15850,R014223,RA_9347,50.259,1.8,0.751,0.013,1.668,1.661,CIRCULAR,0.00013927853717741887,,,,,,,,104.0
88,DOM_19716,RA_9347,RA_10181,23.297,1.8,0.751,0.013,1.661,1.657,CIRCULAR,0.0001716959265141436,,,,,,,,104.0
89,DOM_16113,RA_10181,R014230,37.419,1.8,0.751,0.013,1.657,1.652,CIRCULAR,0.00013362195675993788,,,,,,,,104.0
90,DOM_15853,R014230,R014231,84.426,1.8,0.751,0.013,1.652,1.49,CIRCULAR,0.0019188401677208433,,,,,,,,104.0
91,DOM_15855,R014231,RA_9349,43.885,1.8,0.751,0.013,1.49,1.434,CIRCULAR,0.001276062435912044,,,,,,,,104.0
92,DOM_19717,RA_9349,R014232,20.811,1.8,0.751,0.013,1.434,1.408,CIRCULAR,0.0012493392917207258,,,,,,,,104.0
93,DOM_15857,R014232,RA_10185,7.653,1.8,0.751,0.013,1.408,1.397,CIRCULAR,0.0014373448320919768,,,,,,,,104.0
94,DOM_19723,RA_10185,R014456,23.522,1.98,0.751,0.013,1.397,1.365,CIRCULAR,0.0013604285349885228,,,,,,,,104.0
95,DOM_16126,R014456,R014242,70.262,1.98,0.751,0.013,1.365,1.27,CIRCULAR,0.0013520822065981608,,,,,,,,104.0
96,DOM_16125,R014242,RA_9978,65.416,1.98,0.751,0.013,1.27,1.182,CIRCULAR,0.0013452366393542877,,,,,,,,104.0
97,DOM_20723,RA_9978,RA_9977,10.983,1.98,0.751,0.013,1.182,1.167,CIRCULAR,0.0013657470636438043,,,,,,,,104.0
98,DOM_24273,RA_9977,RA_9980,45.63,1.98,0.751,0.013,1.167,1.105,CIRCULAR,0.0013587552049090523,,,,,,,,104.0
99,DOM_20724,RA_9980,RA_9979,5.479,2.0,0.751,0.013,1.105,1.098,CIRCULAR,0.0012776054024456827,,,,,,,,104.0
100,DOM_20721,RA_9979,R025161,31.089,2.0,0.751,0.013,1.098,1.056,CIRCULAR,0.0013509601466756742,,,,,,,,104.0
101,DOM_23823,R025161,R643221,10.507,2.0,0.751,0.013,1.056,1.042,CIRCULAR,0.0013324450366422398,,,,,,,,104.0
102,DOM_1568036,R643221,U055_Prince_Edouard,3.84,2.0,0.751,0.013,1.042,1.037,CIRCULAR,0.0013020833333333634,,,,,,,,104.0
103,U055,U055_Prince_Edouard,R643220,,1.0,0.751,,,,RECT_CLOSED,,,,,,,,,104.0
104,DOM_20726,R643220,R021793,10.887,1.05,0.751,0.013,0.484,0.0,RECT_CLOSED,0.04445669146688711,DOM_23812,,,,,,,104.0
105,DOM_23811,R021793,R021784,49.363,1.05,0.803,0.013,-0.686,-0.83,CIRCULAR,0.0029171646779976887,DOM_23798,,,,,,,105.0
106,DOM_23809,R021784,R025406,36.754,1.05,1.0,0.013,-0.83,-0.938,CIRCULAR,0.002938455678293519,,,,,,,,110.0
107,DOM_23807,R025406,R014051,108.549,1.05,1.0,0.013,-0.938,-1.294,CIRCULAR,0.003279624869874435,,,,,,,,110.0
108,DOM_59967,R014051,R014060,59.338,1.05,1.0,0.013,-1.409,-1.654,CIRCULAR,0.004128888739087935,,,,,,,,110.0
109,DOM_35982,R014060,R014059,14.752,1.05,1.0,0.013,-1.654,-1.758,CIRCULAR,0.007049891540130158,,,,,,,,110.0
110,DOM_35983,R014059,RA_180174,28.39,1.05,1.0,0.013,-1.758,-2.0,CIRCULAR,0.008524128214159914,DOM_941798,,,,,,,110.0
111,U002_Pompe_IREU,RA_180174,RA_619971,,,1.216,,,,,,,,,,,,,112.0
112,DOM_1631422,RA_619971,U89A,16.536,1.375,1.216,0.013,-1.55,-1.715,CIRCULAR,0.00997822931785196,U004,,,,,,,112.0
113,DOM_1640876,U89A,R691161,97.887,2.1,2.721,0.013,-1.95,-2.189,RECT_CLOSED,0.0024415908138976585,,,,,,,,
114,DOM_1631424,R691161,RA_606859,106.224,2.1,2.721,0.013,-2.189,-2.45,RECT_CLOSED,0.002457071848169906,,,,,,,,
